縣市,鄉鎮市區,號次,總統/副總統,得票數,得票率%
雲林縣,麥寮鄉,1,宋楚瑜/余湘,1134,4.7575
雲林縣,麥寮鄉,2,韓國瑜/張善政,9110,38.2195
雲林縣,麥寮鄉,3,蔡英文/賴清德,13592,57.0230
雲林縣,北港鎮,1,宋楚瑜/余湘,855,3.5927
雲林縣,北港鎮,2,韓國瑜/張善政,7287,30.6202
雲林縣,北港鎮,3,蔡英文/賴清德,15656,65.7870
雲林縣,土庫鎮,1,宋楚瑜/余湘,673,3.9614
雲林縣,虎尾鎮,1,宋楚瑜/余湘,1877,4.5207
雲林縣,土庫鎮,2,韓國瑜/張善政,5572,32.7977
雲林縣,土庫鎮,3,蔡英文/賴清德,10744,63.2409
雲林縣,虎尾鎮,2,韓國瑜/張善政,15707,37.8300
雲林縣,虎尾鎮,3,蔡英文/賴清德,23936,57.6493
嘉義縣,水上鄉,1,宋楚瑜/余湘,1163,3.6796
嘉義縣,水上鄉,2,韓國瑜/張善政,10433,33.0085
嘉義縣,水上鄉,3,蔡英文/賴清德,20011,63.3119
雲林縣,莿桐鄉,1,宋楚瑜/余湘,657,3.6836
雲林縣,莿桐鄉,2,韓國瑜/張善政,5250,29.4349
雲林縣,莿桐鄉,3,蔡英文/賴清德,11929,66.8816
嘉義縣,六腳鄉,1,宋楚瑜/余湘,412,2.9975
雲林縣,斗南鎮,1,宋楚瑜/余湘,1048,3.8185
雲林縣,臺西鄉,1,宋楚瑜/余湘,502,3.9674
雲林縣,臺西鄉,2,韓國瑜/張善政,5340,42.2034
雲林縣,臺西鄉,3,蔡英文/賴清德,6811,53.8291
嘉義縣,六腳鄉,2,韓國瑜/張善政,3666,26.6715
嘉義縣,六腳鄉,3,蔡英文/賴清德,9667,70.3310
雲林縣,斗南鎮,2,韓國瑜/張善政,9595,34.9608
雲林縣,斗南鎮,3,蔡英文/賴清德,16802,61.2206
嘉義縣,布袋鎮,1,宋楚瑜/余湘,493,3.0832
嘉義縣,布袋鎮,2,韓國瑜/張善政,5408,33.8211
嘉義縣,布袋鎮,3,蔡英文/賴清德,10089,63.0957
嘉義縣,義竹鄉,1,宋楚瑜/余湘,384,3.3061
嘉義縣,朴子市,1,宋楚瑜/余湘,823,3.3434
雲林縣,水林鄉,1,宋楚瑜/余湘,463,3.3121
雲林縣,斗六市,1,宋楚瑜/余湘,2890,4.3707
雲林縣,西螺鎮,1,宋楚瑜/余湘,806,2.9891
雲林縣,林內鄉,1,宋楚瑜/余湘,433,3.9685
雲林縣,東勢鄉,1,宋楚瑜/余湘,315,3.7702
嘉義縣,鹿草鄉,1,宋楚瑜/余湘,251,2.7129
雲林縣,褒忠鄉,1,宋楚瑜/余湘,295,3.8497
雲林縣,四湖鄉,1,宋楚瑜/余湘,387,3.2472
嘉義縣,梅山鄉,1,宋楚瑜/余湘,484,4.1311
雲林縣,古坑鄉,1,宋楚瑜/余湘,660,3.4183
雲林縣,口湖鄉,1,宋楚瑜/余湘,521,3.5058
嘉義縣,大埔鄉,1,宋楚瑜/余湘,76,3.4081
嘉義縣,中埔鄉,1,宋楚瑜/余湘,985,3.6395
嘉義市,東區,1,宋楚瑜/余湘,2885,3.9236
雲林縣,二崙鄉,1,宋楚瑜/余湘,411,2.6237
雲林縣,大埤鄉,1,宋楚瑜/余湘,424,3.7108
嘉義縣,溪口鄉,1,宋楚瑜/余湘,304,3.3872
雲林縣,崙背鄉,1,宋楚瑜/余湘,473,3.3682
嘉義縣,新港鄉,1,宋楚瑜/余湘,628,3.2644
雲林縣,元長鄉,1,宋楚瑜/余湘,507,3.4978
雲林縣,元長鄉,2,韓國瑜/張善政,4643,32.0317
雲林縣,元長鄉,3,蔡英文/賴清德,9345,64.4705
嘉義縣,義竹鄉,2,韓國瑜/張善政,3616,31.1322
嘉義縣,義竹鄉,3,蔡英文/賴清德,7615,65.5618
嘉義縣,朴子市,2,韓國瑜/張善政,7657,31.1058
嘉義縣,朴子市,3,蔡英文/賴清德,16136,65.5509
雲林縣,水林鄉,2,韓國瑜/張善政,3605,25.7887
嘉義縣,太保市,1,宋楚瑜/余湘,905,3.9681
雲林縣,水林鄉,3,蔡英文/賴清德,9911,70.8992
雲林縣,斗六市,2,韓國瑜/張善政,25971,39.2774
雲林縣,斗六市,3,蔡英文/賴清德,37261,56.3519
雲林縣,西螺鎮,2,韓國瑜/張善政,8253,30.6063
雲林縣,西螺鎮,3,蔡英文/賴清德,17906,66.4046
雲林縣,林內鄉,2,韓國瑜/張善政,3883,35.5879
雲林縣,林內鄉,3,蔡英文/賴清德,6595,60.4436
雲林縣,東勢鄉,2,韓國瑜/張善政,3097,37.0676
雲林縣,東勢鄉,3,蔡英文/賴清德,4943,59.1622
嘉義縣,鹿草鄉,2,韓國瑜/張善政,2725,29.4531
嘉義縣,鹿草鄉,3,蔡英文/賴清德,6276,67.8340
雲林縣,褒忠鄉,2,韓國瑜/張善政,2553,33.3159
雲林縣,褒忠鄉,3,蔡英文/賴清德,4815,62.8344
雲林縣,四湖鄉,2,韓國瑜/張善政,4382,36.7679
雲林縣,四湖鄉,3,蔡英文/賴清德,7149,59.9849
嘉義縣,梅山鄉,2,韓國瑜/張善政,4306,36.7532
嘉義縣,梅山鄉,3,蔡英文/賴清德,6926,59.1157
雲林縣,古坑鄉,2,韓國瑜/張善政,6915,35.8142
雲林縣,古坑鄉,3,蔡英文/賴清德,11733,60.7676
雲林縣,口湖鄉,2,韓國瑜/張善政,4478,30.1326
雲林縣,口湖鄉,3,蔡英文/賴清德,9862,66.3616
嘉義縣,大埔鄉,2,韓國瑜/張善政,930,41.7040
嘉義縣,大埔鄉,3,蔡英文/賴清德,1224,54.8879
嘉義縣,竹崎鄉,1,宋楚瑜/余湘,846,3.9167
嘉義縣,中埔鄉,2,韓國瑜/張善政,9132,33.7422
嘉義市,東區,2,韓國瑜/張善政,26977,36.6884
雲林縣,二崙鄉,2,韓國瑜/張善政,4398,28.0753
雲林縣,大埤鄉,2,韓國瑜/張善政,3626,31.7346
嘉義縣,溪口鄉,2,韓國瑜/張善政,2305,25.6825
雲林縣,崙背鄉,2,韓國瑜/張善政,4676,33.2977
嘉義縣,新港鄉,2,韓國瑜/張善政,4878,25.3561
嘉義縣,太保市,2,韓國瑜/張善政,6934,30.4029
嘉義縣,太保市,3,蔡英文/賴清德,14968,65.6290
嘉義縣,番路鄉,1,宋楚瑜/余湘,273,3.9303
嘉義縣,阿里山鄉,1,宋楚瑜/余湘,106,3.4834
嘉義縣,竹崎鄉,2,韓國瑜/張善政,7404,34.2778
嘉義縣,中埔鄉,3,蔡英文/賴清德,16947,62.6182
嘉義市,東區,3,蔡英文/賴清德,43668,59.3880
雲林縣,二崙鄉,3,蔡英文/賴清德,10856,69.3010
雲林縣,大埤鄉,3,蔡英文/賴清德,7376,64.5545
嘉義縣,溪口鄉,3,蔡英文/賴清德,6366,70.9304
雲林縣,崙背鄉,3,蔡英文/賴清德,8894,63.3340
嘉義縣,新港鄉,3,蔡英文/賴清德,13732,71.3796
嘉義縣,番路鄉,2,韓國瑜/張善政,2707,38.9721
嘉義縣,番路鄉,3,蔡英文/賴清德,3966,57.0976
嘉義縣,阿里山鄉,2,韓國瑜/張善政,2006,65.9218
嘉義縣,阿里山鄉,3,蔡英文/賴清德,931,30.5948
嘉義縣,竹崎鄉,3,蔡英文/賴清德,13350,61.8056
臺北市,松山區,1,宋楚瑜/余湘,5436,4.3294
臺北市,松山區,2,韓國瑜/張善政,55918,44.5345
臺北市,松山區,3,蔡英文/賴清德,64207,51.1361
臺北市,北投區,1,宋楚瑜/余湘,6443,4.1208
臺北市,大同區,1,宋楚瑜/余湘,3463,4.4317
臺北市,中正區,1,宋楚瑜/余湘,4188,4.4633
臺北市,中正區,2,韓國瑜/張善政,41461,44.1864
臺北市,中正區,3,蔡英文/賴清德,48183,51.3503
臺北市,北投區,2,韓國瑜/張善政,59851,38.2792
臺北市,北投區,3,蔡英文/賴清德,90060,57.6001
臺北市,大同區,2,韓國瑜/張善政,24673,31.5746
臺北市,大同區,3,蔡英文/賴清德,50006,63.9938
臺北市,內湖區,1,宋楚瑜/余湘,8356,4.7193
臺北市,內湖區,2,韓國瑜/張善政,74437,42.0401
臺北市,內湖區,3,蔡英文/賴清德,94269,53.2407
臺北市,士林區,1,宋楚瑜/余湘,7185,4.0536
臺北市,士林區,2,韓國瑜/張善政,65183,36.7748
臺北市,士林區,3,蔡英文/賴清德,104881,59.1716
臺北市,萬華區,1,宋楚瑜/余湘,5008,4.2235
臺北市,萬華區,2,韓國瑜/張善政,46700,39.3847
臺北市,萬華區,3,蔡英文/賴清德,66866,56.3918
嘉義縣,民雄鄉,1,宋楚瑜/余湘,1773,4.0567
彰化縣,田中鎮,1,宋楚瑜/余湘,982,3.9188
嘉義縣,大林鎮,1,宋楚瑜/余湘,720,3.7985
臺北市,南港區,1,宋楚瑜/余湘,3409,4.5245
嘉義市,西區,1,宋楚瑜/余湘,3319,3.7627
臺北市,文山區,1,宋楚瑜/余湘,7502,4.4672
嘉義縣,東石鄉,1,宋楚瑜/余湘,512,3.6092
臺北市,信義區,1,宋楚瑜/余湘,5878,4.2436
臺北市,中山區,1,宋楚瑜/余湘,6367,4.4876
臺北市,中山區,2,韓國瑜/張善政,56491,39.8160
臺北市,中山區,3,蔡英文/賴清德,79022,55.6964
彰化縣,埤頭鄉,1,宋楚瑜/余湘,786,4.5108
彰化縣,埤頭鄉,2,韓國瑜/張善政,6512,37.3716
彰化縣,埤頭鄉,3,蔡英文/賴清德,10127,58.1176
臺北市,南港區,2,韓國瑜/張善政,30968,41.1011
臺北市,南港區,3,蔡英文/賴清德,40969,54.3745
嘉義縣,民雄鄉,2,韓國瑜/張善政,13576,31.0628
嘉義縣,民雄鄉,3,蔡英文/賴清德,28356,64.8804
彰化縣,田中鎮,2,韓國瑜/張善政,10044,40.0814
彰化縣,田中鎮,3,蔡英文/賴清德,14033,55.9998
嘉義縣,大林鎮,2,韓國瑜/張善政,6396,33.7431
嘉義縣,大林鎮,3,蔡英文/賴清德,11839,62.4585
臺北市,大安區,1,宋楚瑜/余湘,7534,4.1395
臺北市,大安區,2,韓國瑜/張善政,85490,46.9723
臺北市,大安區,3,蔡英文/賴清德,88977,48.8882
嘉義市,西區,2,韓國瑜/張善政,29292,33.2079
嘉義市,西區,3,蔡英文/賴清德,55597,63.0294
臺北市,文山區,2,韓國瑜/張善政,82305,49.0097
臺北市,文山區,3,蔡英文/賴清德,78129,46.5231
嘉義縣,東石鄉,2,韓國瑜/張善政,4731,33.3498
嘉義縣,東石鄉,3,蔡英文/賴清德,8943,63.0410
臺北市,信義區,2,韓國瑜/張善政,62353,45.0150
臺北市,信義區,3,蔡英文/賴清德,70285,50.7414
彰化縣,伸港鄉,1,宋楚瑜/余湘,1039,4.7799
彰化縣,伸港鄉,2,韓國瑜/張善政,8491,39.0624
彰化縣,伸港鄉,3,蔡英文/賴清德,12207,56.1577
彰化縣,竹塘鄉,1,宋楚瑜/余湘,286,3.3478
彰化縣,溪州鄉,1,宋楚瑜/余湘,742,4.2385
彰化縣,花壇鄉,1,宋楚瑜/余湘,1352,4.7767
彰化縣,溪湖鎮,1,宋楚瑜/余湘,1434,4.4786
彰化縣,大村鄉,1,宋楚瑜/余湘,1028,4.4997
彰化縣,福興鄉,1,宋楚瑜/余湘,1216,4.3796
彰化縣,田尾鄉,1,宋楚瑜/余湘,710,4.3119
彰化縣,北斗鎮,1,宋楚瑜/余湘,944,4.7696
彰化縣,埔鹽鄉,1,宋楚瑜/余湘,948,4.7756
彰化縣,埔心鄉,1,宋楚瑜/余湘,1017,4.7280
彰化縣,大城鄉,1,宋楚瑜/余湘,320,3.6248
彰化縣,秀水鄉,1,宋楚瑜/余湘,1056,4.4549
彰化縣,芳苑鄉,1,宋楚瑜/余湘,761,4.0715
彰化縣,永靖鄉,1,宋楚瑜/余湘,976,4.3380
彰化縣,永靖鄉,2,韓國瑜/張善政,8217,36.5216
彰化縣,永靖鄉,3,蔡英文/賴清德,13306,59.1404
彰化縣,竹塘鄉,2,韓國瑜/張善政,2939,34.4024
彰化縣,田尾鄉,2,韓國瑜/張善政,6256,37.9934
彰化縣,溪州鄉,2,韓國瑜/張善政,5801,33.1372
彰化縣,花壇鄉,2,韓國瑜/張善政,11428,40.3759
彰化縣,溪湖鎮,2,韓國瑜/張善政,12795,39.9606
彰化縣,大村鄉,2,韓國瑜/張善政,8498,37.1969
彰化縣,福興鄉,2,韓國瑜/張善政,9368,33.7403
彰化縣,竹塘鄉,3,蔡英文/賴清德,5318,62.2498
彰化縣,芳苑鄉,2,韓國瑜/張善政,6659,35.6268
彰化縣,芳苑鄉,3,蔡英文/賴清德,11271,60.3017
彰化縣,北斗鎮,2,韓國瑜/張善政,7537,38.0810
彰化縣,北斗鎮,3,蔡英文/賴清德,11311,57.1494
彰化縣,二水鄉,1,宋楚瑜/余湘,344,3.6040
彰化縣,二水鄉,2,韓國瑜/張善政,3844,40.2724
彰化縣,埔鹽鄉,2,韓國瑜/張善政,8768,44.1691
彰化縣,芬園鄉,1,宋楚瑜/余湘,682,4.6240
彰化縣,埔鹽鄉,3,蔡英文/賴清德,10135,51.0554
彰化縣,埔心鄉,2,韓國瑜/張善政,7468,34.7187
彰化縣,二水鄉,3,蔡英文/賴清德,5357,56.1236
彰化縣,芬園鄉,2,韓國瑜/張善政,5304,35.9618
彰化縣,大城鄉,2,韓國瑜/張善政,3901,44.1889
彰化縣,芬園鄉,3,蔡英文/賴清德,8763,59.4142
彰化縣,大城鄉,3,蔡英文/賴清德,4607,52.1862
彰化縣,埔心鄉,3,蔡英文/賴清德,13025,60.5532
彰化縣,秀水鄉,2,韓國瑜/張善政,8559,36.1078
彰化縣,秀水鄉,3,蔡英文/賴清德,14089,59.4372
彰化縣,福興鄉,3,蔡英文/賴清德,17181,61.8801
彰化縣,田尾鄉,3,蔡英文/賴清德,9500,57.6946
彰化縣,溪湖鎮,3,蔡英文/賴清德,17790,55.5608
彰化縣,花壇鄉,3,蔡英文/賴清德,15524,54.8474
彰化縣,溪州鄉,3,蔡英文/賴清德,10963,62.6242
彰化縣,大村鄉,3,蔡英文/賴清德,13320,58.3034
彰化縣,彰化市,1,宋楚瑜/余湘,7159,5.0197
彰化縣,彰化市,2,韓國瑜/張善政,56291,39.4695
彰化縣,彰化市,3,蔡英文/賴清德,79169,55.5108
彰化縣,線西鄉,1,宋楚瑜/余湘,577,5.8142
彰化縣,線西鄉,2,韓國瑜/張善政,4159,41.9085
彰化縣,線西鄉,3,蔡英文/賴清德,5188,52.2773
彰化縣,員林市,1,宋楚瑜/余湘,3337,4.4944
彰化縣,員林市,2,韓國瑜/張善政,29289,39.4475
彰化縣,員林市,3,蔡英文/賴清德,41622,56.0581
彰化縣,和美鎮,1,宋楚瑜/余湘,2682,4.9651
彰化縣,和美鎮,2,韓國瑜/張善政,20535,38.0158
彰化縣,和美鎮,3,蔡英文/賴清德,30800,57.0191
花蓮縣,富里鄉,1,宋楚瑜/余湘,228,4.4627
花蓮縣,富里鄉,2,韓國瑜/張善政,3141,61.4797
花蓮縣,富里鄉,3,蔡英文/賴清德,1740,34.0575
彰化縣,二林鎮,1,宋楚瑜/余湘,1212,4.2059
彰化縣,二林鎮,2,韓國瑜/張善政,12546,43.5368
彰化縣,二林鎮,3,蔡英文/賴清德,15059,52.2573
花蓮縣,光復鄉,1,宋楚瑜/余湘,209,2.9781
花蓮縣,光復鄉,2,韓國瑜/張善政,4741,67.5549
花蓮縣,光復鄉,3,蔡英文/賴清德,2068,29.4671
彰化縣,社頭鄉,1,宋楚瑜/余湘,1145,4.3521
彰化縣,社頭鄉,2,韓國瑜/張善政,9454,35.9345
彰化縣,社頭鄉,3,蔡英文/賴清德,15710,59.7134
花蓮縣,瑞穗鄉,1,宋楚瑜/余湘,211,3.4790
花蓮縣,瑞穗鄉,2,韓國瑜/張善政,3856,63.5779
花蓮縣,瑞穗鄉,3,蔡英文/賴清德,1998,32.9431
花蓮縣,吉安鄉,1,宋楚瑜/余湘,1900,3.7867
花蓮縣,吉安鄉,2,韓國瑜/張善政,28957,57.7120
花蓮縣,吉安鄉,3,蔡英文/賴清德,19318,38.5012
花蓮縣,豐濱鄉,1,宋楚瑜/余湘,61,2.6884
花蓮縣,豐濱鄉,2,韓國瑜/張善政,1647,72.5870
花蓮縣,豐濱鄉,3,蔡英文/賴清德,561,24.7245
花蓮縣,卓溪鄉,1,宋楚瑜/余湘,76,2.6225
花蓮縣,卓溪鄉,2,韓國瑜/張善政,2291,79.0545
花蓮縣,卓溪鄉,3,蔡英文/賴清德,531,18.3230
金門縣,烈嶼鄉,1,宋楚瑜/余湘,92,2.4878
花蓮縣,萬榮鄉,1,宋楚瑜/余湘,93,2.8981
金門縣,烈嶼鄉,2,韓國瑜/張善政,2968,80.2596
金門縣,烈嶼鄉,3,蔡英文/賴清德,638,17.2526
花蓮縣,萬榮鄉,2,韓國瑜/張善政,2410,75.1013
花蓮縣,萬榮鄉,3,蔡英文/賴清德,706,22.0006
金門縣,烏坵鄉,1,宋楚瑜/余湘,2,1.7699
金門縣,烏坵鄉,2,韓國瑜/張善政,96,84.9558
金門縣,烏坵鄉,3,蔡英文/賴清德,15,13.2743
連江縣,莒光鄉,1,宋楚瑜/余湘,14,2.2152
連江縣,莒光鄉,2,韓國瑜/張善政,513,81.1709
連江縣,莒光鄉,3,蔡英文/賴清德,105,16.6139
金門縣,金湖鎮,1,宋楚瑜/余湘,415,3.8390
金門縣,金湖鎮,2,韓國瑜/張善政,8121,75.1249
金門縣,金湖鎮,3,蔡英文/賴清德,2274,21.0361
金門縣,金寧鄉,1,宋楚瑜/余湘,437,3.9253
金門縣,金寧鄉,2,韓國瑜/張善政,7535,67.6817
金門縣,金寧鄉,3,蔡英文/賴清德,3161,28.3931
桃園市,龍潭區,1,宋楚瑜/余湘,3468,4.7298
